"Title","Place[Label]","Place[DBpedia abstract]","Place[DBpedia Page]","Place[Wikipedia Page]","Place[City]","Place[Town]","Place[County]","Place[State]","Place[Region]","Place[Country]","Place[Contained In County]","Place[Contained In State]","Place[Contained In Region]","Place[Contained In Country]","Place[Type of Place]","Place[Freebase Link]","Place[Yago Link]","Place[Geonames Link]","Place[Linkedgeodata Link]","Place[Rdfabout Link]","Place[Homepage]","Place[Latitude]","Place[Longitude]","Place[Coordinates]","Place[Location Source Information]","Free Text"
"Little Dunmow, Essex, , England","Little Dunmow, Essex CM6, UK",,"http://dbpedia.org/resource/Little_Dunmow","http://en.wikipedia.org/wiki/Little_Dunmow","Little Dunmow",,"Essex","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/02qcc8h","http://mpii.de/yago/resource/Little_Dunmow",,"http://linkedgeodata.org/triplify/node/332204781#id",,,,,"51.867344, 0.404065",,
"Littlehampton","Littlehampton, West Sussex, UK",,"http://dbpedia.org/resource/Littlehampton","http://en.wikipedia.org/wiki/Littlehampton","Littlehampton",,"West Sussex","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01c8n5","http://mpii.de/yago/resource/Littlehampton","http://sws.geonames.org/2644319/","http://linkedgeodata.org/triplify/node/17511394#id",,,,,"50.811057, -0.5386609",,
"Littlehampton, Sussex","Littlehampton, West Sussex, UK",,"http://dbpedia.org/resource/Littlehampton","http://en.wikipedia.org/wiki/Littlehampton","Littlehampton",,"West Sussex","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01c8n5","http://mpii.de/yago/resource/Littlehampton","http://sws.geonames.org/2644319/","http://linkedgeodata.org/triplify/node/17511394#id",,,,,"50.811057, -0.5386609",,
"Littlehampton, Sussex, UK","Littlehampton, West Sussex, UK",,"http://dbpedia.org/resource/Littlehampton","http://en.wikipedia.org/wiki/Littlehampton","Littlehampton",,"West Sussex","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01c8n5","http://mpii.de/yago/resource/Littlehampton","http://sws.geonames.org/2644319/","http://linkedgeodata.org/triplify/node/17511394#id",,,,,"50.811057, -0.5386609",,
"Littlehampton, Sussex, UK.","Littlehampton, West Sussex, UK",,"http://dbpedia.org/resource/Littlehampton","http://en.wikipedia.org/wiki/Littlehampton","Littlehampton",,"West Sussex","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01c8n5","http://mpii.de/yago/resource/Littlehampton","http://sws.geonames.org/2644319/","http://linkedgeodata.org/triplify/node/17511394#id",,,,,"50.811057, -0.5386609",,
"Little Leigh, Cheshire, , England","Little Leigh, Cheshire West and Chester CW8, UK",,,,"Little Leigh",,"Cheshire West and Chester","England",,"United Kingdom",,,,,,,,,,,,,,"53.280116, -2.579372",,
"Little Pigeon Creek, Perry County, Indiana","Perry, IN, USA",,,,,,"Perry","Indiana",,"United States",,,,,,,,,,,,,,"38.0159043, -86.6611083",,
"Little River, Botetourt Co., Va.",,,,,,,,,,"United States",,,,,,,,,,,,,,"36.8101994, -81.3399414",,
"Little Rock, AR","Little Rock, AR, USA",,"http://dbpedia.org/resource/Little_Rock,_Arkansas","http://en.wikipedia.org/wiki/Little_Rock,_Arkansas","Little Rock",,"Pulaski","Arkansas",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0ftvg","http://mpii.de/yago/resource/Little_Rock,_Arkansas",,,,,,,"34.7464809, -92.2895948",,
"Little Rock, Iowa","Little Rock, IA 51243, USA",,"http://dbpedia.org/resource/Little_Rock,_Iowa","http://en.wikipedia.org/wiki/Little_Rock,_Iowa","Little Rock",,"Lyon","Iowa",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01_4qht","http://mpii.de/yago/resource/Little_Rock,_Iowa",,,,,,,"43.4441353, -95.8833524",,
"Little Rocky, Ark","Little Rocky Creek, Buffalo River National Park, Tomahawk, AR, USA",,,,,,"Searcy","Arkansas",,"United States",,,,,,,,,,,,,,"36.012296, -92.6379416",,
"Littlestown, Adams, Pennsylvania, United States","Littlestown, PA 17340, USA",,"http://dbpedia.org/resource/Littlestown,_Pennsylvania","http://en.wikipedia.org/wiki/Littlestown,_Pennsylvania","Littlestown",,"Adams","Pennsylvania",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0zgzk","http://mpii.de/yago/resource/Littlestown,_Pennsylvania",,,,,,,"39.744544, -77.0880385",,
"Littlestown, Adams, Pennsylvania, USA","Littlestown, PA 17340, USA",,"http://dbpedia.org/resource/Littlestown,_Pennsylvania","http://en.wikipedia.org/wiki/Littlestown,_Pennsylvania","Littlestown",,"Adams","Pennsylvania",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0zgzk","http://mpii.de/yago/resource/Littlestown,_Pennsylvania",,,,,,,"39.744544, -77.0880385",,
"Littleton, NH","Littleton, NH, USA",,"http://dbpedia.org/resource/Littleton,_New_Hampshire","http://en.wikipedia.org/wiki/Littleton,_New_Hampshire","Littleton",,"Grafton","New Hampshire",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01m95t","http://mpii.de/yago/resource/Littleton,_New_Hampshire",,,,,,,"44.3061628, -71.7701237",,
"Littletown, Lancaster, Pennsylvania, United States","Pennsylvania Turnpike, Weirton, PA, USA",,,,"Weirton",,,"Pennsylvania",,"United States",,,,,,,,,,,,,,"40.1600475, -77.6868053",,
"Little Washbourne and Stanford, England","Stanford, Kent TN25, UK",,"http://dbpedia.org/resource/Stanford,_Kent","http://en.wikipedia.org/wiki/Stanford,_Kent","Stanford",,"Kent","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/02r6ct3","http://mpii.de/yago/resource/Stanford,_Kent",,,,,,,"51.103388, 1.037939",,
"Little Washburn and Stanford, England","Stanford, Kent TN25, UK",,"http://dbpedia.org/resource/Stanford,_Kent","http://en.wikipedia.org/wiki/Stanford,_Kent","Stanford",,"Kent","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/02r6ct3","http://mpii.de/yago/resource/Stanford,_Kent",,,,,,,"51.103388, 1.037939",,
"Livadia,Crimea,Near Yalta,Russia","Yalta Gavan’, Yalta, Crimea, Ukraine, 98600",,,,"Yalta",,,"Crimea",,"Ukraine",,,,,,,,,,,,,,"44.5, 34.1666667",,
"lived in MD",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Liverpool, England","Liverpool, Merseyside, UK",,"http://dbpedia.org/resource/Liverpool","http://en.wikipedia.org/wiki/Liverpool","Liverpool",,"Merseyside","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04lh6","http://mpii.de/yago/resource/Liverpool","http://sws.geonames.org/6288086/","http://linkedgeodata.org/triplify/node/21421501#id",,,,,"53.4083714, -2.9915726",,
"Liverpool, Lancashire, England","Liverpool, UK",,,,,,,,,"United Kingdom",,,,,,,,,,,,,,"53.419815, -2.9194923",,
"Liverpool, Lancashire, , England","Liverpool, UK",,,,,,,,,"United Kingdom",,,,,,,,,,,,,,"53.419815, -2.9194923",,
"Liverpool, Onondaga, New York, United States","Liverpool, NY, USA",,"http://dbpedia.org/resource/Liverpool,_New_York","http://en.wikipedia.org/wiki/Liverpool,_New_York","Liverpool",,"Onondaga","New York",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0y48t","http://mpii.de/yago/resource/Liverpool,_New_York",,,,,,,"43.106456, -76.2177046",,
"Lives At Thakeham Sussex",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Livingston, Kentucky, United States","Livingston, KY 40445, USA",,"http://dbpedia.org/resource/Livingston,_Kentucky","http://en.wikipedia.org/wiki/Livingston,_Kentucky","Livingston",,"Rockcastle","Kentucky",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0thwz",,,,,,,,"37.2978634, -84.2149339",,
"Livvingston, Montana","Livingston, Mt 59047, USA",,"http://dbpedia.org/resource/Livingston,_Montana","http://en.wikipedia.org/wiki/Livingston,_Montana","Livingston",,"Park","Montana",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0x37g","http://mpii.de/yago/resource/Livingston,_Montana",,,,,,,"45.6624354, -110.5610396",,
"LLagywd, Brigend,Glamorgan",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Llanbethian","Cowbridge, Vale of Glamorgan CF71, UK",,"http://dbpedia.org/resource/Cowbridge","http://en.wikipedia.org/wiki/Cowbridge","Cowbridge",,"Vale of Glamorgan","Wales",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0xpn2","http://mpii.de/yago/resource/Cowbridge",,"http://linkedgeodata.org/triplify/node/272781458#id",,,,,"51.46209, -3.449581",,
"Llanderfel, MERIONETHSHIRE, WALES","Llandderfel, Gwynedd LL23, UK",,,,"Llandderfel",,"Gwynedd","Wales",,"United Kingdom",,,,,,,,,,,,,,"52.926403, -3.515416",,
"Llanedi, Carmarthen","Llanedy, Hendy, Carmarthenshire SA4, UK",,,,"Hendy",,"Carmarthenshire","Wales",,"United Kingdom",,,,,,,,,,,,,,"51.744692, -4.04848",,
"Llangan, Glamorgan","Llangan, Vale of Glamorgan CF35, UK",,,,"Llangan",,"Vale of Glamorgan","Wales",,"United Kingdom",,,,,,,,,,,,,,"51.487353, -3.502525",,
"Llangelynin, Merionethshire, , Wales","Llangelynin, Gwynedd LL36, UK",,,,"Llangelynin",,"Gwynedd","Wales",,"United Kingdom",,,,,,,,,,,,,,"52.643307, -4.11132",,
"Llangwydd, Glamorgan","Llangewydd, Cefn Cribwr, Bridgend CF32, UK",,"http://dbpedia.org/resource/Cefn_Cribwr","http://en.wikipedia.org/wiki/Cefn_Cribwr","Cefn Cribwr",,"Bridgend","Wales",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/0bbv7qm","http://mpii.de/yago/resource/Cefn_Cribwr",,,,,,,"51.520506, -3.633522",,
"llangynwyd, Brigend,Glamorgan","Bridgend, UK",,"http://dbpedia.org/resource/Bridgend","http://en.wikipedia.org/wiki/Bridgend","Bridgend",,"Bridgend","Wales",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01zkgw","http://mpii.de/yago/resource/Bridgend",,"http://linkedgeodata.org/triplify/node/262473512#id",,,,,"51.504286, -3.576945",,
"LLangynwyd, Brigend,Glamorgan","Bridgend, UK",,"http://dbpedia.org/resource/Bridgend","http://en.wikipedia.org/wiki/Bridgend","Bridgend",,"Bridgend","Wales",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/01zkgw","http://mpii.de/yago/resource/Bridgend",,"http://linkedgeodata.org/triplify/node/262473512#id",,,,,"51.504286, -3.576945",,
"Llantwit Higher",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Location, Northern Cape, South Africa","Location St, Murraysburg 6995, South Africa",,"http://dbpedia.org/resource/Murraysburg","http://en.wikipedia.org/wiki/Murraysburg","Murraysburg",,"Central Karoo DC","Western Cape",,"South Africa",,,,,,"http://rdf.freebase.com/ns/m/0cnz5t6",,,,,,,,"-31.964907, 23.7626609",,
"Locke, New York","Locke, NY 13118, USA",,,,,,"Cayuga","New York",,"United States",,,,,,,,,,,,,,"42.6606262, -76.4307699",,
"Lockport,N.Y.","Lockport, NY 14094, USA",,,,"Lockport",,"Niagara","New York",,"United States",,,,,,,,,,,,,,"43.1706128, -78.6903098",,
"Locust Grove, Louisiana","Locust Rd, Labadieville, LA 70372, USA",,"http://dbpedia.org/resource/Labadieville,_Louisiana","http://en.wikipedia.org/wiki/Labadieville,_Louisiana","Labadieville",,"Assumption","Louisiana",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0tjjz","http://mpii.de/yago/resource/Labadieville,_Louisiana",,,,,,,"29.836629, -90.9673119",,
"Lodi, CA","Lodi, CA, USA",,"http://dbpedia.org/resource/Lodi,_California","http://en.wikipedia.org/wiki/Lodi,_California","Lodi",,"San Joaquin","California",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0r5f0","http://mpii.de/yago/resource/Lodi,_California",,,,,,,"38.1301968, -121.2724473",,
"Logan Co.","Logan, CO, USA",,,,,,"Logan","Colorado",,"United States",,,,,,,,,,,,,,"40.7056181, -102.989615",,
"Logan, Logan, West Virginia","Logan, WV 25601, USA",,"http://dbpedia.org/resource/Logan,_West_Virginia","http://en.wikipedia.org/wiki/Logan,_West_Virginia","Logan",,"Logan","West Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010xcl","http://mpii.de/yago/resource/Logan,_West_Virginia",,,,,,,"37.8487147, -81.9934581",,
"Logan, Logan, West Virginia, United States","Logan, WV 25601, USA",,"http://dbpedia.org/resource/Logan,_West_Virginia","http://en.wikipedia.org/wiki/Logan,_West_Virginia","Logan",,"Logan","West Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010xcl","http://mpii.de/yago/resource/Logan,_West_Virginia",,,,,,,"37.8487147, -81.9934581",,
"Logan, Logan, West Virginia, USA","Logan, WV 25601, USA",,"http://dbpedia.org/resource/Logan,_West_Virginia","http://en.wikipedia.org/wiki/Logan,_West_Virginia","Logan",,"Logan","West Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010xcl","http://mpii.de/yago/resource/Logan,_West_Virginia",,,,,,,"37.8487147, -81.9934581",,
"Logansport, Cass, Indiana, USA","Logansport, IN 46947, USA",,"http://dbpedia.org/resource/Logansport,_Indiana","http://en.wikipedia.org/wiki/Logansport,_Indiana","Logansport",,"Cass","Indiana",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0skc1","http://mpii.de/yago/resource/Logansport,_Indiana",,,,,,,"40.7544843, -86.3566659",,
"Logan, West Virginia, United States","Logan, WV 25601, USA",,"http://dbpedia.org/resource/Logan,_West_Virginia","http://en.wikipedia.org/wiki/Logan,_West_Virginia","Logan",,"Logan","West Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010xcl","http://mpii.de/yago/resource/Logan,_West_Virginia",,,,,,,"37.8487147, -81.9934581",,
"Logan, WVA","Logan, WV 25601, USA",,"http://dbpedia.org/resource/Logan,_West_Virginia","http://en.wikipedia.org/wiki/Logan,_West_Virginia","Logan",,"Logan","West Virginia",,"United States",,,,,,"http://rdf.freebase.com/ns/m/010xcl","http://mpii.de/yago/resource/Logan,_West_Virginia",,,,,,,"37.8487147, -81.9934581",,
"Loiusville, Kentucky, United States","Louisville, KY, USA",,,,"Louisville",,"Jefferson","Kentucky",,"United States",,,,,,,,,,,,,,"38.2526647, -85.7584557",,
"Lomersheim, Wuerttemberg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Lønborg, Central Denmark Region, Denmark","6880 Lønborg, Denmark",,,,"Lønborg",,"Ringkøbing-Skjern Municipality","Central Denmark Region",,"Denmark",,,,,,,,,,,,,,"55.903328, 8.443813",,
"Lønborg, Ringkøbing Amt, Vestjylland, Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Lønborg, Rinkøbing, Vestjylland, Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Lønborg, Vestjylland, Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"london","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"Londonderry,IRELAND","Londonderry, UK",,,,,,,,,"United Kingdom",,,,,,,,,,,,,,"54.8888741, -7.0542474",,
", London, , England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
",,London,England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
",London,England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London,England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London, England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London,,England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London,,,England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London Grove, Chester, Pennsylvania, United States","London Grove, PA, USA",,,,,,"Chester","Pennsylvania",,"United States",,,,,,,,,,,,,,"39.8513595, -75.8185314",,
"London, Indiana, United States","London, Fairland, IN 46126, USA",,"http://dbpedia.org/resource/Fairland,_Indiana","http://en.wikipedia.org/wiki/Fairland,_Indiana","Fairland",,"Shelby","Indiana",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0spxm","http://mpii.de/yago/resource/Fairland,_Indiana",,,,,,,"39.625602, -85.9202594",,
"London, London, England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London, London, , England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London Middlesex England","Middlesex House, 34-42 Cleveland St, London, Greater London W1T 4JE, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,"Greater London",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5200231, -0.1380332",,
"London, Middlesex, England","Middlesex House, 34-42 Cleveland St, London, Greater London W1T 4JE, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,"Greater London",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5200231, -0.1380332",,
"London, Middlesex, , England","Middlesex House, 34-42 Cleveland St, London, Greater London W1T 4JE, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,"Greater London",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5200231, -0.1380332",,
"London, Midlesex, England","Middlesex House, 34-42 Cleveland St, London, Greater London W1T 4JE, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,"Greater London",,,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5200231, -0.1380332",,
"Londonsborough, Yorkshire, England","England, UK",,,,,,,"England",,"United Kingdom",,,,,,,,,,,,,,"52.3555177, -1.1743197",,
"LONDON (SE) London England","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London, UK","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"London, United Kingdom","London, UK",,"http://dbpedia.org/resource/London","http://en.wikipedia.org/wiki/London","London",,,"England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/04jpl","http://mpii.de/yago/resource/London","http://sws.geonames.org/2643743/","http://linkedgeodata.org/triplify/node/107775#id",,,,,"51.5073346, -0.1276831",,
"Long Beach, Calif.","Long Beach, CA, USA",,"http://dbpedia.org/resource/Long_Beach,_California","http://en.wikipedia.org/wiki/Long_Beach,_California","Long Beach",,"Los Angeles","California",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0nbwf","http://mpii.de/yago/resource/Long_Beach,_California",,,,,,,"33.768321, -118.1956168",,
"Long Buckby, Northamptonshire, , England","Long Buckby, Northamptonshire, UK",,"http://dbpedia.org/resource/Long_Buckby","http://en.wikipedia.org/wiki/Long_Buckby","Long Buckby",,"Northamptonshire","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/018wkh",,,"http://linkedgeodata.org/triplify/node/21001348#id",,,,,"52.303646, -1.0799049",,
"Longchamp,France","Longchamp, 44850, France",,,,,,"Loire-Atlantique","Pays de la Loire",,"France",,,,,,,,,,,,,,"47.334606, -1.40309",,
"Long Island City, Queens, New York, United States","Long Island City, NY, USA",,"http://dbpedia.org/resource/New_York","http://en.wikipedia.org/wiki/New_York","New York",,"Queens","New York",,"United States",,,,,,"http://rdf.freebase.com/ns/m/01mf5p","http://mpii.de/yago/resource/New_York",,,"http://www.rdfabout.com/rdf/usgov/geo/us/ny",,,,"40.744679, -73.9485424",,
"Long Island, New York","Long Island, New York, USA",,,,,,,"New York",,"United States",,,,,,,,,,,,,,"40.7891424, -73.1349605",,
"Long Island, Port Washington, New York","Port Washington, NY, USA",,"http://dbpedia.org/resource/Port_Washington,_New_York","http://en.wikipedia.org/wiki/Port_Washington,_New_York","Port Washington",,"Nassau","New York",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0y333","http://mpii.de/yago/resource/Port_Washington,_New_York",,,,,,,"40.8256561, -73.6981858",,
"Long Island, Suffolk, New York, United States","Long Island, New York, USA",,,,,,,"New York",,"United States",,,,,,,,,,,,,,"40.7891424, -73.1349605",,
"Long Preston, Yorks, Eng.","Long Preston, North Yorkshire BD23, UK",,"http://dbpedia.org/resource/Long_Preston","http://en.wikipedia.org/wiki/Long_Preston","Long Preston",,"North Yorkshire","England",,"United Kingdom",,,,,,"http://rdf.freebase.com/ns/m/026394v","http://mpii.de/yago/resource/Long_Preston",,"http://linkedgeodata.org/triplify/node/28888347#id",,,,,"54.019551, -2.251501",,
"Longstreet, Coffee Co., AL",,,,,,,,,,,,,,,,,,,,,,,,,,"ZERO_RESULTS"
"Long-Term Care Facilities","Miners Long-Term Care Facility, 900 S 6th St, Raton, NM 87740, USA",,"http://dbpedia.org/resource/Raton,_New_Mexico","http://en.wikipedia.org/wiki/Raton,_New_Mexico","Raton",,"Colfax","New Mexico",,"United States",,,,,,"http://rdf.freebase.com/ns/m/0xttp","http://mpii.de/yago/resource/Raton,_New_Mexico",,,,,,,"36.8945942, -104.4467466",,
"Longview, Tx.","Longview, TX, USA",,"http://dbpedia.org/resource/Longview,_Texas","http://en.wikipedia.org/wiki/Longview,_Texas","Longview",,"Gregg","Texas",,"United States",,,,,,"http://rdf.freebase.com/ns/m/013mtx","http://mpii.de/yago/resource/Longview,_Texas",,,,,,,"32.5007037, -94.7404891",,
"Lonsborough, Yorkshire, England","Londesborough Roundabout, York, East Riding of Yorkshire YO43, UK",,,,,,"East Riding of Yorkshire","England",,"United Kingdom",,,,,,,,,,,,,,"53.8829165, -0.6700416",,
"Loquemau, France","Trédrez-Locquémeau, France",,,,"Trédrez-Locquémeau",,"Cotes-d'Armor","Bretagne",,"France",,,,,,,,,,,,,,"48.698649, -3.566985",,
"Los Altos, California","Los Altos, CA, USA",,"http://dbpedia.org/resource/Los_Altos,_California","http://en.wikipedia.org/wiki/Los_Altos,_California","Los Altos",,"Santa Clara","California",,"United States",,,,,,"http://rdf.freebase.com/ns/m/04qfx","http://mpii.de/yago/resource/Los_Altos,_California",,,,,,,"37.3852183, -122.1141298",,
"Los Angelas, Cal","Los Ángeles, Los Angeles, Biobío Region, Chile",,"http://dbpedia.org/resource/Los_Angeles","http://en.wikipedia.org/wiki/Los_Angeles","Los Angeles",,"Biobío Province","Bío-Bío",,"Chile",,,,,,"http://rdf.freebase.com/ns/m/030qb3t","http://mpii.de/yago/resource/Los_Angeles",,,,,,,"-37.472872, -72.354452",,
"Los Angeles, CA","Los Angeles, CA, USA",,"http://dbpedia.org/resource/Los_Angeles","http://en.wikipedia.org/wiki/Los_Angeles","Los Angeles",,"Los Angeles","California",,"United States",,,,,,"http://rdf.freebase.com/ns/m/030qb3t","http://mpii.de/yago/resource/Los_Angeles",,,,,,,"34.0522342, -118.2436849",,
", Los Angeles, California","Los Angeles, CA, USA",,"http://dbpedia.org/resource/Los_Angeles","http://en.wikipedia.org/wiki/Los_Angeles","Los Angeles",,"Los Angeles","California",,"United States",,,,,,"http://rdf.freebase.com/ns/m/030qb3t","http://mpii.de/yago/resource/Los_Angeles",,,,,,,"34.0522342, -118.2436849",,
"Los Angeles, California","Los Angeles, CA, USA",,"http://dbpedia.org/resource/Los_Angeles","http://en.wikipedia.org/wiki/Los_Angeles","Los Angeles",,"Los Angeles","California",,"United States",,,,,,"http://rdf.freebase.com/ns/m/030qb3t","http://mpii.de/yago/resource/Los_Angeles",,,,,,,"34.0522342, -118.2436849",,
"Los Angeles, LA County, CA","Los Angeles, CA, USA",,"http://dbpedia.org/resource/Los_Angeles","http://en.wikipedia.org/wiki/Los_Angeles","Los Angeles",,"Los Angeles","California",,"United States",,,,,,"http://rdf.freebase.com/ns/m/030qb3t","http://mpii.de/yago/resource/Los_Angeles",,,,,,,"34.0522342, -118.2436849",,
